matchday,date,season,apoints,awin,AwayTeam,HomeTeam,FTHG,FTAG,covid19,HAdyad
8,2020-03-09,1819,3,1,M'gladbach,Mainz,0,1,0,MainzM'gladbach
8,2020-03-09,1819,1,0,Augsburg,RB Leipzig,0,0,0,RB LeipzigAugsburg
8,2020-03-10,1819,3,1,Leverkusen,Hannover,2,3,0,HannoverLeverkusen
8,2020-03-10,1819,0,0,Nurnberg,Hoffenheim,2,1,0,HoffenheimNurnberg
8,2020-03-11,1819,3,1,Ein Frankfurt,Fortuna Dusseldorf,0,3,0,Fortuna DusseldorfEin Frankfurt
9,2020-03-15,1819,1,0,Freiburg,M'gladbach,1,1,0,M'gladbachFreiburg
9,2020-03-16,1819,0,0,Hannover,Augsburg,3,1,0,AugsburgHannover
9,2020-03-16,1819,3,1,Dortmund,Hertha,2,3,0,HerthaDortmund
9,2020-03-16,1819,3,1,RB Leipzig,Schalke 04,0,1,0,Schalke 04RB Leipzig
9,2020-03-16,1819,1,0,Hoffenheim,Stuttgart,1,1,0,StuttgartHoffenheim
9,2020-03-16,1819,0,0,Fortuna Dusseldorf,Wolfsburg,5,2,0,WolfsburgFortuna Dusseldorf
9,2020-03-17,1819,0,0,Mainz,Bayern Munich,6,0,0,Bayern MunichMainz
9,2020-03-17,1819,0,0,Nurnberg,Ein Frankfurt,1,0,0,Ein FrankfurtNurnberg
9,2020-03-17,1819,3,1,Werder Bremen,Leverkusen,1,3,0,LeverkusenWerder Bremen
10,2020-03-29,1819,0,0,Leverkusen,Hoffenheim,4,1,0,HoffenheimLeverkusen
10,2020-03-30,1819,0,0,Wolfsburg,Dortmund,2,0,0,DortmundWolfsburg
10,2020-03-30,1819,0,0,M'gladbach,Fortuna Dusseldorf,3,1,0,Fortuna DusseldorfM'gladbach
10,2020-03-30,1819,1,0,Bayern Munich,Freiburg,1,1,0,FreiburgBayern Munich
10,2020-03-30,1819,0,0,Augsburg,Nurnberg,3,0,0,NurnbergAugsburg
10,2020-03-30,1819,0,0,Hertha,RB Leipzig,5,0,0,RB LeipzigHertha
10,2020-03-30,1819,0,0,Mainz,Werder Bremen,3,1,0,Werder BremenMainz
10,2020-03-31,1819,0,0,Stuttgart,Ein Frankfurt,3,0,0,Ein FrankfurtStuttgart
10,2020-03-31,1819,3,1,Schalke 04,Hannover,0,1,0,HannoverSchalke 04
11,2020-04-05,1819,0,0,Freiburg,Mainz,5,0,0,MainzFreiburg
11,2020-04-06,1819,0,0,Dortmund,Bayern Munich,5,0,0,Bayern MunichDortmund
11,2020-04-06,1819,3,1,Fortuna Dusseldorf,Hertha,1,2,0,HerthaFortuna Dusseldorf
11,2020-04-06,1819,3,1,RB Leipzig,Leverkusen,2,4,0,LeverkusenRB Leipzig
11,2020-04-06,1819,3,1,Ein Frankfurt,Schalke 04,1,2,0,Schalke 04Ein Frankfurt
11,2020-04-06,1819,1,0,Nurnberg,Stuttgart,1,1,0,StuttgartNurnberg
11,2020-04-06,1819,0,0,Hannover,Wolfsburg,3,1,0,WolfsburgHannover
11,2020-04-07,1819,3,1,Hoffenheim,Augsburg,0,4,0,AugsburgHoffenheim
11,2020-04-07,1819,1,0,Werder Bremen,M'gladbach,1,1,0,M'gladbachWerder Bremen
12,2020-04-12,1819,1,0,Schalke 04,Nurnberg,1,1,0,NurnbergSchalke 04
12,2020-04-13,1819,0,0,Mainz,Dortmund,2,1,0,DortmundMainz
12,2020-04-13,1819,3,1,M'gladbach,Hannover,0,1,0,HannoverM'gladbach
12,2020-04-13,1819,0,0,Wolfsburg,RB Leipzig,2,0,0,RB LeipzigWolfsburg
12,2020-04-13,1819,3,1,Leverkusen,Stuttgart,0,1,0,StuttgartLeverkusen
12,2020-04-13,1819,0,0,Freiburg,Werder Bremen,2,1,0,Werder BremenFreiburg
12,2020-04-14,1819,3,1,Augsburg,Ein Frankfurt,1,3,0,Ein FrankfurtAugsburg
12,2020-04-14,1819,3,1,Bayern Munich,Fortuna Dusseldorf,1,4,0,Fortuna DusseldorfBayern Munich
12,2020-04-14,1819,0,0,Hertha,Hoffenheim,2,0,0,HoffenheimHertha
13,2020-04-20,1819,0,0,Stuttgart,Augsburg,6,0,0,AugsburgStuttgart
13,2020-04-20,1819,0,0,Werder Bremen,Bayern Munich,1,0,0,Bayern MunichWerder Bremen
13,2020-04-20,1819,0,0,Nurnberg,Leverkusen,2,0,0,LeverkusenNurnberg
13,2020-04-20,1819,3,1,RB Leipzig,M'gladbach,1,2,0,M'gladbachRB Leipzig
13,2020-04-20,1819,0,0,Fortuna Dusseldorf,Mainz,3,1,0,MainzFortuna Dusseldorf
13,2020-04-20,1819,3,1,Hoffenheim,Schalke 04,2,5,0,Schalke 04Hoffenheim
13,2020-04-21,1819,3,1,Dortmund,Freiburg,0,4,0,FreiburgDortmund
13,2020-04-21,1819,1,0,Hannover,Hertha,0,0,0,HerthaHannover
13,2020-04-22,1819,1,0,Ein Frankfurt,Wolfsburg,1,1,0,WolfsburgEin Frankfurt
14,2020-04-26,1819,3,1,Leverkusen,Augsburg,1,4,0,AugsburgLeverkusen
14,2020-04-27,1819,3,1,Schalke 04,Dortmund,2,4,0,DortmundSchalke 04
14,2020-04-27,1819,1,0,Hertha,Ein Frankfurt,0,0,0,Ein FrankfurtHertha
14,2020-04-27,1819,0,0,Werder Bremen,Fortuna Dusseldorf,4,1,0,Fortuna DusseldorfWerder Bremen
14,2020-04-27,1819,0,0,Mainz,Hannover,1,0,0,HannoverMainz
14,2020-04-27,1819,0,0,Freiburg,RB Leipzig,2,1,0,RB LeipzigFreiburg
14,2020-04-27,1819,0,0,M'gladbach,Stuttgart,1,0,0,StuttgartM'gladbach
14,2020-04-28,1819,3,1,Wolfsburg,Hoffenheim,1,4,0,HoffenheimWolfsburg
14,2020-04-28,1819,1,0,Bayern Munich,Nurnberg,1,1,0,NurnbergBayern Munich
15,2020-05-03,1819,1,0,RB Leipzig,Mainz,3,3,0,MainzRB Leipzig
15,2020-05-04,1819,0,0,Hannover,Bayern Munich,3,1,0,Bayern MunichHannover
15,2020-05-04,1819,0,0,Stuttgart,Hertha,3,1,0,HerthaStuttgart
15,2020-05-04,1819,1,0,Hoffenheim,M'gladbach,2,2,0,M'gladbachHoffenheim
15,2020-05-04,1819,1,0,Dortmund,Werder Bremen,2,2,0,Werder BremenDortmund
15,2020-05-04,1819,0,0,Nurnberg,Wolfsburg,2,0,0,WolfsburgNurnberg
15,2020-05-05,1819,1,0,Fortuna Dusseldorf,Freiburg,1,1,0,FreiburgFortuna Dusseldorf
15,2020-05-05,1819,0,0,Ein Frankfurt,Leverkusen,6,1,0,LeverkusenEin Frankfurt
15,2020-05-05,1819,1,0,Augsburg,Schalke 04,0,0,0,Schalke 04Augsburg
16,2020-05-11,1819,3,1,Hertha,Augsburg,3,4,0,AugsburgHertha
16,2020-05-11,1819,0,0,Fortuna Dusseldorf,Dortmund,3,2,0,DortmundFortuna Dusseldorf
16,2020-05-11,1819,0,0,Freiburg,Hannover,3,0,0,HannoverFreiburg
16,2020-05-11,1819,3,1,Werder Bremen,Hoffenheim,0,1,0,HoffenheimWerder Bremen
16,2020-05-11,1819,1,0,Schalke 04,Leverkusen,1,1,0,LeverkusenSchalke 04
16,2020-05-11,1819,3,1,M'gladbach,Nurnberg,0,4,0,NurnbergM'gladbach
16,2020-05-11,1819,1,0,Bayern Munich,RB Leipzig,0,0,0,RB LeipzigBayern Munich
16,2020-05-11,1819,0,0,Wolfsburg,Stuttgart,3,0,0,StuttgartWolfsburg
16,2020-05-12,1819,3,1,Mainz,Ein Frankfurt,0,2,0,Ein FrankfurtMainz
17,2020-05-18,1819,0,0,Ein Frankfurt,Bayern Munich,5,1,0,Bayern MunichEin Frankfurt
17,2020-05-18,1819,0,0,Hannover,Fortuna Dusseldorf,2,1,0,Fortuna DusseldorfHannover
17,2020-05-18,1819,0,0,Nurnberg,Freiburg,5,1,0,FreiburgNurnberg
17,2020-05-18,1819,3,1,Leverkusen,Hertha,1,5,0,HerthaLeverkusen
17,2020-05-18,1819,3,1,Dortmund,M'gladbach,0,2,0,M'gladbachDortmund
17,2020-05-18,1819,0,0,Hoffenheim,Mainz,4,2,0,MainzHoffenheim
17,2020-05-18,1819,1,0,Stuttgart,Schalke 04,0,0,0,Schalke 04Stuttgart
17,2020-05-18,1819,0,0,RB Leipzig,Werder Bremen,2,1,0,Werder BremenRB Leipzig
17,2020-05-18,1819,0,0,Augsburg,Wolfsburg,8,1,0,WolfsburgAugsburg
18,2020-08-24,1819,0,0,Hoffenheim,Bayern Munich,3,1,0,Bayern MunichHoffenheim
18,2020-08-25,1819,3,1,Augsburg,Fortuna Dusseldorf,1,2,0,Fortuna DusseldorfAugsburg
18,2020-08-25,1819,3,1,Ein Frankfurt,Freiburg,0,2,0,FreiburgEin Frankfurt
18,2020-08-25,1819,0,0,Nurnberg,Hertha,1,0,0,HerthaNurnberg
18,2020-08-25,1819,0,0,Leverkusen,M'gladbach,2,0,0,M'gladbachLeverkusen
18,2020-08-25,1819,1,0,Hannover,Werder Bremen,1,1,0,Werder BremenHannover
18,2020-08-25,1819,0,0,Schalke 04,Wolfsburg,2,1,0,WolfsburgSchalke 04
18,2020-08-26,1819,0,0,RB Leipzig,Dortmund,4,1,0,DortmundRB Leipzig
18,2020-08-26,1819,0,0,Stuttgart,Mainz,1,0,0,MainzStuttgart
19,2020-09-01,1819,1,0,M'gladbach,Augsburg,1,1,0,AugsburgM'gladbach
19,2020-09-01,1819,3,1,Werder Bremen,Ein Frankfurt,1,2,0,Ein FrankfurtWerder Bremen
19,2020-09-01,1819,0,0,Freiburg,Hoffenheim,3,1,0,HoffenheimFreiburg
19,2020-09-01,1819,3,1,Wolfsburg,Leverkusen,1,3,0,LeverkusenWolfsburg
19,2020-09-01,1819,1,0,Mainz,Nurnberg,1,1,0,NurnbergMainz
19,2020-09-01,1819,3,1,Bayern Munich,Stuttgart,0,3,0,StuttgartBayern Munich
19,2020-09-02,1819,1,0,Fortuna Dusseldorf,RB Leipzig,1,1,0,RB LeipzigFortuna Dusseldorf
19,2020-09-02,1819,3,1,Hertha,Schalke 04,0,2,0,Schalke 04Hertha
19,2020-08-31,1819,1,0,Dortmund,Hannover,0,0,0,HannoverDortmund
20,2020-09-14,1819,0,0,Ein Frankfurt,Dortmund,3,1,0,DortmundEin Frankfurt
20,2020-09-15,1819,0,0,Leverkusen,Bayern Munich,3,1,0,Bayern MunichLeverkusen
20,2020-09-15,1819,0,0,Hoffenheim,Fortuna Dusseldorf,2,1,0,Fortuna DusseldorfHoffenheim
20,2020-09-15,1819,0,0,Schalke 04,M'gladbach,2,1,0,M'gladbachSchalke 04
20,2020-09-15,1819,0,0,Augsburg,Mainz,2,1,0,MainzAugsburg
20,2020-09-15,1819,0,0,Hannover,RB Leipzig,3,2,0,RB LeipzigHannover
20,2020-09-15,1819,1,0,Hertha,Wolfsburg,2,2,0,WolfsburgHertha
20,2020-09-16,1819,1,0,Stuttgart,Freiburg,3,3,0,FreiburgStuttgart
20,2020-09-16,1819,1,0,Nurnberg,Werder Bremen,1,1,0,Werder BremenNurnberg
21,2020-09-21,1819,1,0,Fortuna Dusseldorf,Stuttgart,0,0,0,StuttgartFortuna Dusseldorf
21,2020-09-22,1819,3,1,Werder Bremen,Augsburg,2,3,0,AugsburgWerder Bremen
21,2020-09-22,1819,0,0,M'gladbach,Hertha,4,2,0,HerthaM'gladbach
21,2020-09-22,1819,1,0,Dortmund,Hoffenheim,1,1,0,HoffenheimDortmund
21,2020-09-22,1819,0,0,Hannover,Nurnberg,2,0,0,NurnbergHannover
21,2020-09-22,1819,3,1,Bayern Munich,Schalke 04,0,2,0,Schalke 04Bayern Munich
21,2020-09-22,1819,3,1,Freiburg,Wolfsburg,1,3,0,WolfsburgFreiburg
21,2020-09-23,1819,1,0,RB Leipzig,Ein Frankfurt,1,1,0,Ein FrankfurtRB Leipzig
21,2020-09-23,1819,0,0,Mainz,Leverkusen,1,0,0,LeverkusenMainz
22,2020-09-25,1819,1,0,Augsburg,Bayern Munich,1,1,0,Bayern MunichAugsburg
22,2020-09-25,1819,0,0,Schalke 04,Freiburg,1,0,0,FreiburgSchalke 04
22,2020-09-25,1819,3,1,Hoffenheim,Hannover,1,3,0,HannoverHoffenheim
22,2020-09-25,1819,0,0,Hertha,Werder Bremen,3,1,0,Werder BremenHertha
22,2020-09-26,1819,0,0,Nurnberg,Dortmund,7,0,0,DortmundNurnberg
22,2020-09-26,1819,3,1,Leverkusen,Fortuna Dusseldorf,1,2,0,Fortuna DusseldorfLeverkusen
22,2020-09-26,1819,0,0,Ein Frankfurt,M'gladbach,3,1,0,M'gladbachEin Frankfurt
22,2020-09-26,1819,1,0,Wolfsburg,Mainz,0,0,0,MainzWolfsburg
22,2020-09-26,1819,0,0,Stuttgart,RB Leipzig,2,0,0,RB LeipzigStuttgart
23,2020-09-28,1819,0,0,Bayern Munich,Hertha,2,0,0,HerthaBayern Munich
23,2020-09-29,1819,3,1,RB Leipzig,Hoffenheim,1,2,0,HoffenheimRB Leipzig
23,2020-09-29,1819,3,1,Dortmund,Leverkusen,2,4,0,LeverkusenDortmund
23,2020-09-29,1819,0,0,Fortuna Dusseldorf,Nurnberg,3,0,0,NurnbergFortuna Dusseldorf
23,2020-09-29,1819,0,0,Mainz,Schalke 04,1,0,0,Schalke 04Mainz
23,2020-09-29,1819,0,0,Werder Bremen,Stuttgart,2,1,0,StuttgartWerder Bremen
23,2020-09-29,1819,1,0,M'gladbach,Wolfsburg,2,2,0,WolfsburgM'gladbach
23,2020-09-30,1819,0,0,Freiburg,Augsburg,4,1,0,AugsburgFreiburg
23,2020-09-30,1819,0,0,Hannover,Ein Frankfurt,4,1,0,Ein FrankfurtHannover
24,2020-10-05,1819,0,0,Wolfsburg,Werder Bremen,2,0,0,Werder BremenWolfsburg
24,2020-10-06,1819,3,1,M'gladbach,Bayern Munich,0,3,0,Bayern MunichM'gladbach
24,2020-10-06,1819,0,0,Augsburg,Dortmund,4,3,0,DortmundAugsburg
24,2020-10-06,1819,3,1,Schalke 04,Fortuna Dusseldorf,0,2,0,Fortuna DusseldorfSchalke 04
24,2020-10-06,1819,0,0,Stuttgart,Hannover,3,1,0,HannoverStuttgart
24,2020-10-06,1819,1,0,Hertha,Mainz,0,0,0,MainzHertha
24,2020-10-07,1819,1,0,Leverkusen,Freiburg,0,0,0,FreiburgLeverkusen
24,2020-10-07,1819,3,1,Ein Frankfurt,Hoffenheim,1,2,0,HoffenheimEin Frankfurt
24,2020-10-07,1819,0,0,Nurnberg,RB Leipzig,6,0,0,RB LeipzigNurnberg
25,2020-10-19,1819,0,0,Fortuna Dusseldorf,Ein Frankfurt,7,1,0,Ein FrankfurtFortuna Dusseldorf
25,2020-10-20,1819,1,0,RB Leipzig,Augsburg,0,0,0,AugsburgRB Leipzig
25,2020-10-20,1819,1,0,Hannover,Leverkusen,2,2,0,LeverkusenHannover
25,2020-10-20,1819,3,1,Hoffenheim,Nurnberg,1,3,0,NurnbergHoffenheim
25,2020-10-20,1819,3,1,Werder Bremen,Schalke 04,0,2,0,Schalke 04Werder Bremen
25,2020-10-20,1819,3,1,Dortmund,Stuttgart,0,4,0,StuttgartDortmund
25,2020-10-20,1819,3,1,Bayern Munich,Wolfsburg,1,3,0,WolfsburgBayern Munich
25,2020-10-21,1819,1,0,Freiburg,Hertha,1,1,0,HerthaFreiburg
25,2020-10-21,1819,0,0,Mainz,M'gladbach,4,0,0,M'gladbachMainz
26,2020-10-26,1819,0,0,M'gladbach,Freiburg,3,1,0,FreiburgM'gladbach
